,Título,Descripción,Precio (€),Fecha entrada,Fecha salida
26,Apartamento en Grünerløkka,Luminoso y lindo apartamento en medio de Grunerløkka popular,569,2024-10-31,2024-03-11
27,Apartamento en Sankt Hanshaugen,Acogedor apartamento de 2 dormitorios en Oslo,396,2024-10-31,2024-03-11
28,Apto. residencial en Grünerløkka,Apartamento central y familiar con aparcamiento,404,2024-10-31,2024-03-11
29,Apartamento en Gamle Oslo,Precioso y céntrico apartamento,551,2024-10-31,2024-03-11
30,Apto. residencial en Gamle Oslo,Sørengkaia 121,698,2024-10-31,2024-03-11
31,Apartamento en Grünerløkka,Apartamento loft extremadamente céntrico,639,2024-10-31,2024-03-11
32,Apartamento en Frogner,Apartamento justo al lado de Aker Brygge,699,2024-10-31,2024-03-11
34,Apartamento en Holmenkollen,Apartamento con vistas al apartamento con gran terraza en Holmenkollen,1198,2024-10-31,2024-03-11
35,Apartamento en Oslo kommune,Escapada con estilo en Grünerløkka,828,2024-10-31,2024-03-11
36,Apartamento en Grünerløkka,"Bonito apartamento, cerca de Tøyenparken",409,2024-10-31,2024-03-11
37,Apartamento en Bydel Østensjø,Koselig og Compact Apartment para 2-4 personas,299,2024-10-31,2024-03-11
38,Apartamento en Sankt Hanshaugen,Central apartment St.Hanshaugen,454,2024-10-31,2024-03-11
39,Apartamento en Sentrum,Centro DE LA ciudad/estudio DE alta gama/4PPL,541,2024-10-31,2024-03-11
40,Apartamento en Sentrum,Apartamento elegante junto a la Ópera,389,2024-10-31,2024-03-11
42,Apto. residencial en Gamle Oslo,Family friendy charming place with balcony,459,2024-10-31,2024-03-11
43,Apto. residencial en Oslo,Acogedor apartamento cerca de todo,386,2024-10-31,2024-03-11
44,Apartamento en Bydel Alna,Piso acogedor y familiar en una zona tranquila de Oslo.,341,2024-10-31,2024-03-11
46,Apartamento en Gamle Oslo,Acogedor apartamento diseñado por un arquitecto,598,2024-10-31,2024-03-11
47,Apartamento en Gamle Oslo,Acogedor apartamento situado en el corazón de Oslo,582,2024-10-31,2024-03-11
48,Apartamento en Sentrum,2br en Tjuvhomen con vistas al mar,509,2024-07-11,2024-10-11
49,Apto. residencial en Grünerløkka,"Apartamento clásico en bucle en el mejor de los casos, Grünerløkka",505,2024-07-11,2024-10-11
50,Apartamento en Gamle Oslo,Apartamento de 3 habitaciones en Ensjø/ Helsfyr,307,2024-07-11,2024-10-11
51,Apartamento en Grünerløkka,Cerca de Grunerløkka y del centro,509,2024-07-11,2024-10-11
53,Apartamento en Grünerløkka,Gran apartamento en el corazón de Grünerløkka.,486,2024-07-11,2024-10-11
54,Apto. residencial en Grünerløkka,Apartamento en Grünerløkka para 1-4 personas,394,2024-07-11,2024-10-11
57,Apartamento en Gamle Oslo,"Acogedor apartamento familiar, aparcamiento gratuito, Hasle",344,2024-07-11,2024-10-11
58,Apartamento en Sankt Hanshaugen,Apartamento en St Hanshaugen,639,2024-07-11,2024-10-11
59,Apartamento en Bærum,Amplio apartamento cerca de Sandvika,629,2024-07-11,2024-10-11
60,Apartamento en Grünerløkka,Apartamento loft extremadamente céntrico,639,2024-07-11,2024-10-11
62,Apartamento en Schultz' gate 6,Encantador apartamento artístico,309,2024-07-11,2024-10-11
64,Apto. residencial en Majorstuen,Acogedor apartamento en Briskeby/Majorstuen,443,2024-07-11,2024-10-11
65,Apartamento en Majorstuen,Apartamento en el corazón de la ciudad,349,2024-07-11,2024-10-11
66,Vivienda en Nordre Follo,Casa pequeña con terraza.,329,2024-07-11,2024-10-11
67,Apartamento en Bydel Østensjø,"Moderno, totalmente equipado, 3 habitaciones aparte. con aparcamiento",483,2024-07-11,2024-10-11
68,Apartamento en Grünerløkka,Apartamento único en Grünerløkka.,573,2024-07-11,2024-10-11
70,Apto. residencial en Gamle Oslo,Apartamento en el centro de Oslo,469,2024-07-11,2024-10-11
71,Apto. residencial en Grünerløkka,Apartamento de alta calidad en Grünerløkka,618,2024-07-11,2024-10-11
73,Apartamento en Frogner,Salón compacto.,365,2024-11-14,2024-11-17
75,Apartamento en Majorstuen,Acogedor y céntrico apartamento en Majorstuen,319,2024-11-14,2024-11-17
77,Apto. residencial en Sentrum,Elegante apartamento estudio en el centro de la ciudad,557,2024-11-14,2024-11-17
81,Apartamento en Bærum,Amplio apartamento cerca de Sandvika,629,2024-11-14,2024-11-17
82,Apartamento en Sagene,Acogedor apartamento en una zona encantadora de Oslo,758,2024-11-14,2024-11-17
84,Casa de invitados en Nordre Aker,"Casa muy acogedora, rural pero aún céntrica! ¡Una joya!",295,2024-11-14,2024-11-17
85,Apartamento en Gamle Oslo,Chesterfield Lounge,512,2024-11-14,2024-11-17
87,Apartamento en Oslo,"CA17-Central-Downtown,acogedor,cerca de todo: 2 habitaciones",418,2024-11-14,2024-11-17
88,Apartamento en Gamle Oslo,Apartamento de 3 habitaciones en Ensjø/ Helsfyr,307,2024-11-14,2024-11-17
91,Apto. residencial en Grünerløkka,Apartamento en Grünerløkka para 1-4 personas,394,2024-11-14,2024-11-17
92,Apartamento en Grünerløkka,Urban Apartments Grünerløkka Loft /planta alta,438,2024-11-14,2024-11-17
93,Apto. residencial en Gamle Oslo,Lujoso apartamento en la planta superior (incluido el estacionamiento),584,2024-11-14,2024-11-17
94,Apto. residencial en Majorstuen,Acogedor apartamento en Briskeby/Majorstuen,422,2024-11-14,2024-11-17
95,Apto. residencial en Gamle Oslo,Apartamento moderno cerca del centro de la ciudad,335,2024-11-14,2024-11-17
96,Apartamento en Gamle Oslo,Central de 2 dormitorios.,449,2024-11-21,2024-11-24
98,Apartamento en Gamle Oslo,La casa de María en el centro de Oslo,307,2024-11-21,2024-11-24
99,Loft en Grünerløkka,Moderno piso en el último piso - Azotea,429,2024-11-21,2024-11-24
100,Apartamento en Frogner,Salón compacto.,365,2024-11-21,2024-11-24
101,Apartamento en Gamle Oslo,¡Encantadora perla en un patio trasero cerrado!,444,2024-11-21,2024-11-24
102,Apto. residencial en Sentrum,"Super céntrico, cerca del tren/autobús, de 1 a 4 personas.",454,2024-11-21,2024-11-24
103,Apto. residencial en Gamle Oslo,Precioso apartamento adosado con jardín privado,513,2024-11-21,2024-11-24
104,Apto. residencial en Majorstuen,Es un apartamento.,326,2024-11-21,2024-11-24
105,Apartamento en Sentrum,¡Apartamento en Barcode Oslo!,629,2024-11-21,2024-11-24
108,Apartamento en Gamle Oslo,Chesterfield Lounge,512,2024-11-21,2024-11-24
112,Apartamento en Gamle Oslo,"Acogedor alojamiento de 3 dormitorios, cerca de la mayoría",647,2024-11-21,2024-11-24
113,Apartamento en Sagene,Acogedor apartamento en una zona encantadora de Oslo,749,2024-11-21,2024-11-24
114,Apartamento en Bærum,Amplio apartamento cerca de Sandvika,629,2024-11-21,2024-11-24
115,Apartamento en Gamle Oslo,Apartamento de 3 habitaciones en Ensjø/ Helsfyr,307,2024-11-21,2024-11-24
116,Apto. residencial en Gamle Oslo,Apartamento moderno cerca del centro de la ciudad,335,2024-11-21,2024-11-24
117,Apartamento en Bydel Sagene,Apartamento de 3 habitaciones en el centro de Oslo,404,2024-11-21,2024-11-24
118,Apto. residencial en Majorstuen,Acogedor apartamento en Briskeby/Majorstuen,431,2024-11-21,2024-11-24
119,Apartamento en Gamle Oslo,Acogedor apartamento de dos camas en el centro de Kampen,394,2024-11-21,2024-11-24
121,Apto. residencial en Sentrum,"Super céntrico, cerca del tren/autobús, de 1 a 4 personas.",454,2024-11-28,2024-01-12
122,Apartamento en Frogner,Salón compacto.,365,2024-11-28,2024-01-12
124,Apartamento en Nordstrand,Apartamento moderno a las afueras del centro,284,2024-11-28,2024-01-12
125,Apartamento en Majorstuen,Acogedor y céntrico apartamento en Majorstuen,319,2024-11-28,2024-01-12
128,Apartamento en Gamle Oslo,Lugar céntrico y moderno de 3 dormitorios,1238,2024-11-28,2024-01-12
130,Apartamento en Bærum,Amplio apartamento cerca de Sandvika,629,2024-11-28,2024-01-12
131,Apartamento en Majorstuen,"Encantador apartamento 
en Majorstuen",489,2024-11-28,2024-01-12
132,Apartamento en Gamle Oslo,"Elegante y moderno apartamento de 2 dormitorios, a 4 minutos en metro de la ciudad de Oslo",392,2024-11-28,2024-01-12
133,Apartamento en Gamle Oslo,Chesterfield Lounge,512,2024-11-28,2024-01-12
134,Apto. residencial en Gamle Oslo,"«Código de barras» a PIE de la Ópera,Munch y Central",797,2024-11-28,2024-01-12
136,Apto. residencial en Grünerløkka,Apartamento en Grünerløkka para 1-4 personas,394,2024-11-28,2024-01-12
137,Apartamento en Grünerløkka,Acogedor retiro en Grünerløkka en el corazón de Oslo,412,2024-11-28,2024-01-12
138,Apto. residencial en Grünerløkka,"Apartamento en un patio trasero tranquilo, en el centro de Grunerløkka",404,2024-11-28,2024-01-12
140,Apartamento en Gamle Oslo,Apartamento de 3 habitaciones en Ensjø/ Helsfyr,307,2024-11-28,2024-01-12
141,Apto. residencial en Grünerløkka,Apartamento tranquilo en el parque,435,2024-11-28,2024-01-12
143,Apartamento en Oslo kommune,"Acogedor, céntrico y habitaciones cuatro",351,2024-11-28,2024-01-12
